uniqueCell_ID,POINT_X,POINT_Y,country,countryGID,GID_1,province,lcc2000,lcc2005,lcc2008,lcc2011,lcc2014,suitability,treecover,acc_min,urban
60,101.034559123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00133384298533201,76.5449981689453,33.7920951843262,0
61,101.036739123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00127209641505033,79.5038909912109,36.8694267272949,0
62,101.038919123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00120852363761514,81.7361526489258,43.1876602172852,0
63,101.041099123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.0011439718073234,77.6683807373047,50.8781089782715,0
64,101.043279123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00107941997703165,80.0167388916016,58.5685577392578,0
65,101.437859123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00177914055529982,52.8731803894043,55.9271926879883,0
66,101.440039123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00183110032230616,56.0881996154785,50.273250579834,0
67,101.442219123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00188306020572782,56.490592956543,44.6193084716797,0
68,101.444399123,22.582986619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.00193501997273415,21.2761859893799,38.9653625488281,0
69,100.788219123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000895338249392808,58.0893249511719,284.050170898438,0
70,100.790399123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000892456038855016,54.3439254760742,283.778594970703,0
71,100.792579123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000889573828317225,57.3312187194824,283.507019042969,0
72,100.803479123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000813258229754865,51.7659492492676,272.301300048828,0
73,100.805659123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000807418837212026,58.99755859375,268.303436279297,0
74,100.807839123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000808348297141492,55.0476417541504,263.961791992188,0
75,100.810019123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000809277757070959,62.9165649414063,259.620147705078,0
76,100.812199123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000810207275208086,73.6681518554688,255.278518676758,0
77,100.814379123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00080985453678295,62.8688468933106,254.22282409668,0
78,100.816559123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000809296499937773,39.6049919128418,253.478256225586,0
79,100.932099123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000835588958580047,74.4660873413086,315.632568359375,0
80,100.934279123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000830511853564531,69.7553787231445,308.347991943359,0
81,100.936459123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000825434748549014,49.7256965637207,301.063415527344,0
82,100.938639123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000816467858385295,42.1461639404297,291.474243164063,0
83,100.940819123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000803946633823216,64.2812728881836,280.175201416016,0
84,100.942999123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000791425351053476,74.3629531860352,268.876190185547,0
85,100.945179123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000778904126491398,67.5441970825195,257.577178955078,0
86,100.947359123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000803364149760455,64.0598068237305,248.913024902344,0
87,100.949539123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000843680463731289,45.9373435974121,241.120361328125,0
88,100.951719123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000883996835909784,23.2392387390137,233.327697753906,0
89,100.980059123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00118864991236478,76.1907730102539,141.014556884766,0
90,100.982239123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00112817739136517,73.0878067016602,136.250411987305,0
91,100.984419123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00106770498678088,76.3824768066406,131.486267089844,0
92,100.986599123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00100723258219659,78.5960693359375,126.722114562988,0
93,100.988779123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00101479748263955,77.9893951416016,119.267127990723,0
94,100.990959123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00107028055936098,71.2717132568359,110.287406921387,0
95,100.993139123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00112576375249773,73.7198028564453,101.307693481445,0
96,101.017119123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.0013418240705505,13.1475782394409,22.7070865631104,0
97,101.019299123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.00132449937518686,13.3009548187256,17.3090534210205,0
98,101.021479123,22.580896619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00133639085106552,1.26770746707916,14.3081474304199,0
99,101.023659123,22.580896619,China,CHN,CHN.30_1,"",5,5,8,8,8,0.00141769147012383,0.455270051956177,15.8024263381958,0
100,101.025839123,22.580896619,China,CHN,CHN.30_1,"",5,5,8,8,8,0.00149899197276682,0,17.296703338623,0
101,101.028019123,22.580896619,China,CHN,CHN.30_1,"",5,5,8,8,8,0.00158029259182513,0,18.7909832000732,0
102,101.030199123,22.580896619,China,CHN,CHN.30_1,"",5,5,8,8,8,0.00158808566629887,1.33167588710785,21.3578224182129,0
103,101.032379123,22.580896619,China,CHN,CHN.30_1,"",5,5,8,8,8,0.00151417730376124,15.8469753265381,24.8944187164307,0
104,101.034559123,22.580896619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00144026894122362,46.6189880371094,28.4310150146484,0
105,101.036739123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.001366360578686,57.1310043334961,31.9676113128662,0
106,101.038919123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00128155131824315,64.9109115600586,37.6849670410156,0
107,101.041099123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00119089742656797,59.0064849853516,44.3256645202637,0
108,101.043279123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.0011002435348928,74.1084594726563,50.966365814209,0
109,101.045459123,22.580896619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00100958964321762,81.3721694946289,57.6070671081543,0
110,101.431319123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00145979318767786,57.4444046020508,94.4794311523438,0
111,101.433499123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00156561424955726,57.60107421875,81.4296569824219,0
112,101.435679123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00167143542785198,50.2096633911133,68.3798904418945,0
113,101.437859123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00177232385613024,68.3173599243164,56.8878059387207,0
114,101.440039123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00184820161666721,73.2232894897461,51.0370330810547,0
115,101.442219123,22.580896619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.0019240794936195,63.131534576416,45.1862640380859,0
116,101.444399123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.00199995725415647,43.3699264526367,39.3354911804199,0
117,101.446579123,22.580896619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.00203592795878649,5.43884801864624,35.7884407043457,0
118,100.779499123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000967336178291589,27.8241100311279,249.044616699219,0
119,100.786039123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000882626220118254,54.7766418457031,279.666717529297,0
120,100.788219123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00086473987903446,69.0171356201172,285.6171875,0
121,100.790399123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000867879891302437,77.0739669799805,284.663177490234,0
122,100.792579123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000871019903570414,77.167724609375,283.709167480469,0
123,100.794759123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000874159915838391,70.6609802246094,282.755157470703,0
124,100.796939123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000862651970237494,51.7448883056641,281.835571289063,0
125,100.799119123,22.578806619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000836914347019047,45.8667602539063,280.943145751953,0
126,100.801299123,22.578806619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.0008111767238006,58.5867691040039,280.050750732422,0
127,100.803479123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000785439100582153,71.2806549072266,279.158325195313,0
128,100.805659123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000778243062086403,78.5533828735352,276.411834716797,0
129,100.807839123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000779588823206723,74.2026062011719,273.000762939453,0
