"countryGID","Year","DeflatorRate","meanYield","meanSuit","PriceDfl","USD_day_wageDfl","FertPriceDfl","DieselPriceDfl","GasPriceDfl","TimbPriceHaDfl"
"THA",2004,88.2109,171.090551111111,0.0279307444814286,967.7617839,4.03895658375,335.460269409926,0.32638033,0.47633886,760.112052030883
"THA",2005,90.9586,171.090551111111,0.0279307444814286,1211.4775934,4.36108587583333,457.250539670399,0.33654682,0.49117644,5627.49466995111
"THA",2006,93.7112,171.090551111111,0.0279307444814286,1638.6340432,4.93116143666666,421.687281059057,0.6091228,0.6559784,7774.281152
"THA",2007,96.2285,171.090551111111,0.0279307444814286,1920.72086,5.76849762291666,543.987022402981,0.62548525,0.6735995,10633.24925
"THA",2008,98.1003,171.090551111111,0.0279307444814286,2169.0957333,6.476254805,952.592568652498,0.62784192,0.85347261,6760.26758791599
"THA",2009,98.8482,171.090551111111,0.0279307444814286,1685.7572028,6.340288295,562.750413806413,0.63262848,0.85997934,6413.73084764001
"THA",2010,100,171.090551111111,0.0279307444814286,3250.7,7.04333333333333,565.713851718092,0.95,1.41,7796.51524579963
"THA",2011,102.089,171.090551111111,0.0279307444814286,4151.653363,7.7983234875,932.354396263712,0.9698455,1.4394549,8282.86716553288
"THA",2012,104.047,171.090551111111,0.0279307444814286,2917.269786,10.8789809083333,875.341695138538,1.0092559,1.6231332,13257.8488581952
"THA",2013,105.873,171.090551111111,0.0279307444814286,2575.678344,11.198716575,549.873944677211,1.0269681,1.6516188,16800.5299795665
"THA",2014,107.876,171.090551111111,0.0279307444814286,1791.173104,11.4105839,500.818943678353,0.970884,1.3916004,15716.5451198493
"THA",2015,109.029,171.090551111111,0.0279307444814286,1406.147013,11.532542475,550.791520209432,0.981261,1.4064741,11661.7034067718
"THA",2016,110.222,171.090551111111,0.0279307444814286,1524.260038,11.65873205,513.713501351639,0.991998,1.4218638,11789.3062662338
"THA",2017,112.317,171.090551111111,0.0279307444814286,1553.231793,11.880330675,523.477702557675,1.010853,1.4488893,12013.3867277365
"THA",2018,112.317,171.090551111111,0.0279307444814286,1553.231793,10.1913637875,523.477702557675,1.010853,1.4488893,12013.3867277365
"VNM",2000,81.2372,33.2170711111111,0.0461457475776234,616.6715852,0.430046408215842,213.843769451394,0.21934044,0.30870136,7930.58141746479
"VNM",2001,83.019,33.2170711111111,0.0461457475776234,443.487498,0.422842412553827,173.449174371805,0.2241513,0.3154722,8675.4855
"VNM",2002,84.3322,33.2170711111111,0.0461457475776234,662.3450988,0.482939068686803,290.494905544073,0.22769694,0.28672948,6489.36279
"VNM",2003,85.8983,33.2170711111111,0.0461457475776234,858.4676102,0.669223517861371,257.072673192926,0.23192541,0.29205422,6609.874185
"VNM",2004,88.2109,33.2170711111111,0.0461457475776234,1064.4409303,0.676922207756467,372.580153169081,0.28227488,0.42341232,4905.38663414634
"VNM",2005,90.9586,33.2170711111111,0.0461457475776234,1320.3550376,0.836425091912242,413.302714833328,0.29106752,0.43660128,5058.18556097561
"VNM",2006,93.7112,33.2170711111111,0.0461457475776234,1381.303088,1.0985729246448,370.142406840022,0.49666936,0.62786504,8102.34289172277
"VNM",2007,96.2285,33.2170711111111,0.0461457475776234,1707.7671895,1.34438028267399,457.500367823717,0.51001105,0.64473095,22283.8768847527
"VNM",2008,98.1003,33.2170711111111,0.0461457475776234,1713.2236392,1.35395834930761,791.308482992469,0.75537231,0.7848024,25877.4677153351
"VNM",2009,98.8482,33.2170711111111,0.0461457475776234,1675.971231,1.56878152788955,517.519910676293,0.76113114,0.7907856,15310.4547056212
"VNM",2010,100,33.2170711111111,0.0461457475776234,1826.6,1.63416981905323,581.623053857904,0.77,0.88,18943.3243108877
"VNM",2011,102.089,33.2170711111111,0.0461457475776234,3392.111203,1.72141440859429,807.593560953027,0.7860853,0.8983832,58475.7459798777
"VNM",2012,104.047,33.2170711111111,0.0461457475776234,2388.606979,2.18554649990397,832.704726560384,1.1028982,1.1965405,49584.219237817
"VNM",2013,105.873,33.2170711111111,0.0461457475776234,2167.008564,2.42343680918094,563.552493041068,1.1222538,1.2175395,60551.10029722
"VNM",2014,107.876,33.2170711111111,0.0461457475776234,1757.30004,2.469285551814,449.300460066871,0.9816716,1.1219104,58209.8896
"VNM",2015,109.029,33.2170711111111,0.0461457475776234,1366.896573,2.40778430577529,334.231967886476,0.9921639,1.1339016,35216.5733092321
"VNM",2016,110.222,33.2170711111111,0.0461457475776234,1077.750716,2.43413038504585,355.588931923205,1.0030202,1.1463088,46910.4832
"VNM",2017,112.317,33.2170711111111,0.0461457475776234,1098.235626,2.48039613196272,362.347644452274,1.0220847,1.1680968,47802.1152
"VNM",2018,112.317,33.2170711111111,0.0461457475776234,1098.235626,2.48039613196272,362.347644452274,1.0220847,1.1680968,47802.1152
